Date,State_name_from,State_name_to,n
April-2020,Massachusetts,Arizona,1699
April-2020,Massachusetts,California,3803
April-2020,Massachusetts,Florida,10243
April-2020,Massachusetts,Idaho,64
April-2020,Massachusetts,Illinois,2299
April-2020,Massachusetts,Maryland,872
April-2020,Massachusetts,Massachusetts,1085
April-2020,Massachusetts,Michigan,154
April-2020,Massachusetts,Minnesota,743
April-2020,Massachusetts,New_Orleans,518
April-2020,Massachusetts,New_York,2579
April-2020,Massachusetts,Other_Louisiana,58
April-2020,Massachusetts,Pennsylvania,1105
April-2020,Massachusetts,Shreveport_Bossier,23
April-2020,Massachusetts,Texas,3311
April-2020,Massachusetts,Utah,322
April-2020,Massachusetts,Virginia,335
April-2020,Massachusetts,Washington,930
April-2020,Massachusetts,Wisconsin,121
April-2020,Michigan,Alaska,31
April-2020,Michigan,Arizona,823
April-2020,Michigan,California,763
April-2020,Michigan,Connecticut,44
April-2020,Michigan,Florida,6674
April-2020,Michigan,Idaho,19
April-2020,Michigan,Illinois,2789
April-2020,Michigan,Maryland,305
April-2020,Michigan,Massachusetts,167
April-2020,Michigan,Michigan,352
April-2020,Michigan,Minnesota,407
April-2020,Michigan,New_Orleans,39
April-2020,Michigan,New_York,374
April-2020,Michigan,Other_Louisiana,24
April-2020,Michigan,Pennsylvania,639
April-2020,Michigan,Shreveport_Bossier,12
April-2020,Michigan,Texas,879
April-2020,Michigan,Utah,120
April-2020,Michigan,Virginia,215
April-2020,Michigan,Washington,176
April-2020,Michigan,Wisconsin,114
April-2020,Minnesota,Alaska,158
April-2020,Minnesota,Arizona,4780
April-2020,Minnesota,California,5475
April-2020,Minnesota,Connecticut,109
April-2020,Minnesota,Florida,8173
April-2020,Minnesota,Idaho,88
April-2020,Minnesota,Illinois,1604
April-2020,Minnesota,Maryland,1013
April-2020,Minnesota,Massachusetts,539
April-2020,Minnesota,Michigan,385
April-2020,Minnesota,Minnesota,3514
April-2020,Minnesota,New_Orleans,133
April-2020,Minnesota,New_York,1528
April-2020,Minnesota,Other_Louisiana,58
April-2020,Minnesota,Pennsylvania,712
April-2020,Minnesota,Shreveport_Bossier,21
April-2020,Minnesota,Texas,4135
April-2020,Minnesota,Utah,1746
April-2020,Minnesota,Virginia,206
April-2020,Minnesota,Washington,2033
April-2020,Minnesota,Wisconsin,802
April-2020,New_Orleans,Alaska,61
April-2020,New_Orleans,Arizona,613
April-2020,New_Orleans,California,2116
April-2020,New_Orleans,Connecticut,80
April-2020,New_Orleans,Florida,2917
April-2020,New_Orleans,Idaho,140
April-2020,New_Orleans,Illinois,899
April-2020,New_Orleans,Maryland,404
April-2020,New_Orleans,Massachusetts,510
April-2020,New_Orleans,Michigan,32
April-2020,New_Orleans,Minnesota,144
April-2020,New_Orleans,New_York,847
April-2020,New_Orleans,Pennsylvania,476
April-2020,New_Orleans,Shreveport_Bossier,12
April-2020,New_Orleans,Texas,3816
April-2020,New_Orleans,Utah,198
April-2020,New_Orleans,Virginia,315
April-2020,New_Orleans,Washington,344
April-2020,New_Orleans,Wisconsin,134
April-2020,New_York,Alaska,180
April-2020,New_York,Arizona,1523
April-2020,New_York,California,12636
April-2020,New_York,Connecticut,46
April-2020,New_York,Florida,25896
April-2020,New_York,Idaho,152
April-2020,New_York,Illinois,6427
April-2020,New_York,Maryland,490
April-2020,New_York,Massachusetts,2359
April-2020,New_York,Michigan,376
April-2020,New_York,Minnesota,1385
April-2020,New_York,New_Orleans,755
April-2020,New_York,New_York,2522
April-2020,New_York,Other_Louisiana,177
April-2020,New_York,Pennsylvania,2945
April-2020,New_York,Shreveport_Bossier,71
April-2020,New_York,Texas,9137
April-2020,New_York,Utah,1026
April-2020,New_York,Virginia,1531
April-2020,New_York,Washington,2341
April-2020,New_York,Wisconsin,696
April-2020,Other_Louisiana,Alaska,31
April-2020,Other_Louisiana,Arizona,116
April-2020,Other_Louisiana,California,457
April-2020,Other_Louisiana,Connecticut,23
April-2020,Other_Louisiana,Florida,291
April-2020,Other_Louisiana,Idaho,22
April-2020,Other_Louisiana,Illinois,165
April-2020,Other_Louisiana,Maryland,52
April-2020,Other_Louisiana,Massachusetts,45
April-2020,Other_Louisiana,Michigan,30
April-2020,Other_Louisiana,Minnesota,53
April-2020,Other_Louisiana,New_York,181
April-2020,Other_Louisiana,Other_Louisiana,2
April-2020,Other_Louisiana,Pennsylvania,172
April-2020,Other_Louisiana,Shreveport_Bossier,5
April-2020,Other_Louisiana,Texas,2415
April-2020,Other_Louisiana,Utah,76
April-2020,Other_Louisiana,Virginia,117
April-2020,Other_Louisiana,Washington,99
April-2020,Other_Louisiana,Wisconsin,41
April-2020,Pennsylvania,Alaska,106
April-2020,Pennsylvania,Arizona,1506
April-2020,Pennsylvania,California,6186
April-2020,Pennsylvania,Connecticut,262
April-2020,Pennsylvania,Florida,23694
April-2020,Pennsylvania,Idaho,90
April-2020,Pennsylvania,Illinois,4396
April-2020,Pennsylvania,Maryland,1183
April-2020,Pennsylvania,Massachusetts,2433
April-2020,Pennsylvania,Michigan,628
April-2020,Pennsylvania,Minnesota,974
April-2020,Pennsylvania,New_Orleans,584
April-2020,Pennsylvania,New_York,3019
April-2020,Pennsylvania,Other_Louisiana,153
April-2020,Pennsylvania,Pennsylvania,4204
April-2020,Pennsylvania,Shreveport_Bossier,57
April-2020,Pennsylvania,Texas,6273
April-2020,Pennsylvania,Utah,271
April-2020,Pennsylvania,Virginia,1764
April-2020,Pennsylvania,Washington,878
April-2020,Pennsylvania,Wisconsin,1243
April-2020,Shreveport_Bossier,Alaska,26
April-2020,Shreveport_Bossier,Arizona,48
April-2020,Shreveport_Bossier,California,183
April-2020,Shreveport_Bossier,Connecticut,8
April-2020,Shreveport_Bossier,Florida,189
April-2020,Shreveport_Bossier,Idaho,6
April-2020,Shreveport_Bossier,Illinois,65
April-2020,Shreveport_Bossier,Maryland,25
April-2020,Shreveport_Bossier,Massachusetts,19
April-2020,Shreveport_Bossier,Michigan,15
April-2020,Shreveport_Bossier,Minnesota,23
April-2020,Shreveport_Bossier,New_Orleans,7
April-2020,Shreveport_Bossier,New_York,81
April-2020,Shreveport_Bossier,Other_Louisiana,1
April-2020,Shreveport_Bossier,Pennsylvania,68
April-2020,Shreveport_Bossier,Texas,648
April-2020,Shreveport_Bossier,Utah,31
April-2020,Shreveport_Bossier,Virginia,54
April-2020,Shreveport_Bossier,Washington,38
April-2020,Shreveport_Bossier,Wisconsin,24
April-2020,Texas,Alaska,560
April-2020,Texas,Arizona,10026
April-2020,Texas,California,35486
April-2020,Texas,Connecticut,1005
April-2020,Texas,Florida,24013
April-2020,Texas,Idaho,644
April-2020,Texas,Illinois,15753
April-2020,Texas,Maryland,5133
April-2020,Texas,Massachusetts,3391
April-2020,Texas,Michigan,972
April-2020,Texas,Minnesota,4488
April-2020,Texas,New_Orleans,2994
April-2020,Texas,New_York,9133
April-2020,Texas,Other_Louisiana,2388
April-2020,Texas,Pennsylvania,6968
April-2020,Texas,Shreveport_Bossier,665
April-2020,Texas,Texas,39796
April-2020,Texas,Utah,4097
April-2020,Texas,Virginia,2170
April-2020,Texas,Washington,5888
April-2020,Texas,Wisconsin,2344
April-2020,Utah,Alaska,159
April-2020,Utah,Arizona,4745
April-2020,Utah,California,11451
April-2020,Utah,Connecticut,86
April-2020,Utah,Florida,1246
April-2020,Utah,Idaho,901
April-2020,Utah,Illinois,1109
April-2020,Utah,Maryland,221
April-2020,Utah,Massachusetts,266
April-2020,Utah,Michigan,133
April-2020,Utah,Minnesota,1615
April-2020,Utah,New_Orleans,138
April-2020,Utah,New_York,1140
April-2020,Utah,Other_Louisiana,74
April-2020,Utah,Pennsylvania,276
April-2020,Utah,Shreveport_Bossier,25
April-2020,Utah,Texas,4649
April-2020,Utah,Utah,425
April-2020,Utah,Virginia,266
April-2020,Utah,Washington,2541
April-2020,Utah,Wisconsin,108
April-2020,Virginia,Alaska,44
April-2020,Virginia,Arizona,464
April-2020,Virginia,California,2104
April-2020,Virginia,Connecticut,158
April-2020,Virginia,Florida,4341
April-2020,Virginia,Idaho,49
April-2020,Virginia,Illinois,1778
April-2020,Virginia,Maryland,152
April-2020,Virginia,Massachusetts,394
April-2020,Virginia,Michigan,207
April-2020,Virginia,Minnesota,258
April-2020,Virginia,New_Orleans,231
April-2020,Virginia,New_York,1645
April-2020,Virginia,Other_Louisiana,109
April-2020,Virginia,Pennsylvania,1666
April-2020,Virginia,Shreveport_Bossier,59
April-2020,Virginia,Texas,2235
April-2020,Virginia,Utah,283
April-2020,Virginia,Virginia,7
April-2020,Virginia,Washington,360
April-2020,Virginia,Wisconsin,337
April-2020,Washington,Alaska,5164
April-2020,Washington,Arizona,8833
April-2020,Washington,California,22300
April-2020,Washington,Connecticut,75
April-2020,Washington,Florida,2729
April-2020,Washington,Idaho,3081
April-2020,Washington,Illinois,2127
April-2020,Washington,Maryland,321
April-2020,Washington,Massachusetts,769
April-2020,Washington,Michigan,137
April-2020,Washington,Minnesota,1753
April-2020,Washington,New_Orleans,305
April-2020,Washington,New_York,2022
April-2020,Washington,Other_Louisiana,79
April-2020,Washington,Pennsylvania,736
April-2020,Washington,Shreveport_Bossier,37
April-2020,Washington,Texas,4983
April-2020,Washington,Utah,2366
April-2020,Washington,Virginia,286
April-2020,Washington,Washington,10406
April-2020,Washington,Wisconsin,231
April-2020,Wisconsin,Alaska,21
