Date,Origin Airport,Origin City,Origin Country,Destination Airport,Destination City,Destination Country,Total Volume,Direct Volume,Destination Lat,Destination Long,Origin Lat,Origin Long
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Concord Regional Airport, NC, US",Concord,United States,406,406,35.4,-80.6,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Oakland International Airport, CA, US",Oakland,United States,387,335,37.8,-122.3,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Austin-Bergstrom International Airport, TX, US",Austin,United States,387,337,30.3,-97.7,30.0,-90.1
April-2020,"Baton Rouge Metropolitan Airport, LA, US",Baton Rouge,United States,"Charlotte Douglas International Airport, NC, US",Charlotte,United States,382,381,35.2,-80.8,30.5,-91.2
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"San Antonio International Airport, TX, US",San Antonio,United States,355,299,29.4,-98.5,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Lambert–St. Louis International Airport, IL, US",St Louis,United States,329,300,38.6,-90.2,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Tampa International Airport, FL, US",Tampa,United States,326,303,27.9,-82.5,30.0,-90.1
April-2020,"Lafayette Regional Airport, LA, US",Lafayette,United States,"Dallas/Fort Worth International Airport, TX, US",Dallas/Fort Worth,United States,320,320,32.8,-96.8,30.2,-92.0
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Detroit Metropolitan Wayne County Airport, MI, US",Detroit,United States,319,319,42.3,-83.0,30.0,-90.1
April-2020,"Shreveport Regional Airport, LA, US",Shreveport,United States,"Dallas/Fort Worth International Airport, TX, US",Dallas/Fort Worth,United States,319,319,32.8,-96.8,32.5,-93.8
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Nashville International Airport, TN, US",Nashville,United States,310,305,36.2,-86.8,30.0,-90.1
April-2020,"Monroe Regional Airport, LA, US",Monroe,United States,"Hartsfield-Jackson Atlanta International Airport, GA, US",Atlanta,United States,304,303,33.7,-84.4,32.5,-92.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Fort Lauderdale/Hollywood International Airport, FL, US",Fort Lauderdale,United States,299,288,26.1,-80.1,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Hartsfield-Jackson Atlanta International Airport, GA, US",Atlanta,United States,292,288,33.7,-84.4,30.0,-90.1
April-2020,"Shreveport Regional Airport, LA, US",Shreveport,United States,"Charlotte Douglas International Airport, NC, US",Charlotte,United States,292,287,35.2,-80.8,32.5,-93.8
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"San Diego International Airport, CA, US",San Diego,United States,264,200,32.7,-117.2,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Logan International Airport, MA, US",Boston,United States,260,245,42.4,-71.1,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Los Angeles International Airport, CA, US",Los Angeles,United States,258,167,34.1,-118.2,30.0,-90.1
April-2020,"Louis Armstrong New Orleans International Airport, LA, US",New Orleans,United States,"Orlando International Airport, FL, US",Orlando,United States,253,234,28.5,-81.4,30.0,-90.1
