group,time,confirmed,confirmed_rolling,population,travel_infectious,travel_infectious_lower,travel_infectious_upper,infectious_travellers,infectious_travellers_lower,infectious_travellers_upper,import_risk,n
Arizona,2020-02-01,1,0,7278717,7.626206460518586,1.6415651190080136,27.452566127716512,1.0477404823567926e-6,2.2552946061895435e-7,3.771621582171214e-6,0.0464475197844385,12315
Arizona,2020-02-02,1,0,7278717,8.586628040679619,1.898590686588656,30.188171883140967,1.179689777838542e-6,2.608413936946107e-7,4.147457839498495e-6,0.051075943293423964,12315
Arizona,2020-02-03,1,0,7278717,9.659402754870545,2.1935640853517406,33.18102915804404,1.3270749164819218e-6,3.01366859757254e-7,4.558637072720926e-6,0.05613961555055821,12315
Arizona,2020-02-04,1,0,7278717,10.85945709863442,2.5324722660228876,36.45731244801505,1.4919466024897548e-6,3.4792838710763003e-7,5.008755313335448e-6,0.06168282168372605,12315
Arizona,2020-02-05,1,0,7278717,12.203183574876565,2.9223231826629505,40.04690425536462,1.6765569501983062e-6,4.0148877647845777e-7,5.501918024201878e-6,0.06775612046804613,12315
Arizona,2020-02-06,1,0,7278717,13.708678123461679,3.3710761771048006,43.98397810210798,1.8833921037817075e-6,4.631415367714943e-7,6.042820197860143e-6,0.07441733073664766,12315
Arizona,2020-02-07,1,0,7278717,15.396275417382565,3.8878240021421138,48.306513347743184,2.115245779906344e-6,5.341358926500528e-7,6.636679698873192e-6,0.08173071049162337,12315
Arizona,2020-02-08,1,0,7278717,17.289144593315932,4.483056842840302,53.05523674305932,2.375301113275311e-6,6.159130575952193e-7,7.289091847238918e-6,0.08976516609874728,12315
Arizona,2020-02-09,1,0,7278717,19.413446095191254,5.168968821810416,58.27334522710998,2.6671522048722672e-6,7.101483436999152e-7,8.005991334339552e-6,0.09859378328239159,12315
Arizona,2020-02-10,1,0,7278717,21.79809712763263,5.9598828367839545,64.00729705977777,2.9947718983486553e-6,8.18809528765022e-7,8.793760914152559e-6,0.10829516565778877,12315
Arizona,2020-02-11,1,0,7278717,24.474973813864654,6.872253314690473,70.30829824091612,3.362539553861574e-6,9.441572346734284e-7,9.659435617694178e-6,0.1189559496319038,12315
Arizona,2020-02-12,1,0,7278717,27.479928740216433,7.92473648963194,77.23325632266281,3.7753808453078247e-6,1.0887545826595456e-6,1.0610833794288582e-5,0.1306724181766639,12315
Arizona,2020-02-13,1,0,7278717,30.85348847296451,9.138558987890585,84.84404879337798,4.238863589965719e-6,1.2555178320424581e-6,1.1656456597141774e-5,0.14354926299380094,12315
Arizona,2020-02-14,1,0,7278717,34.64079047592539,10.538074436761326,93.20659140938801,4.759189081801833e-6,1.4477928509600422e-6,1.280535998437472e-5,0.15769800820757468,12315
Arizona,2020-02-15,1,0,7278717,38.892216276630776,12.151203110432196,102.39245847780055,5.343279080177286e-6,1.6694155179315523e-6,1.406737732457527e-5,0.17323975175214446,12315
