group,time,confirmed,confirmed_rolling,population,travel_infectious,travel_infectious_lower,travel_infectious_upper,infectious_travellers,infectious_travellers_lower,infectious_travellers_upper,import_risk,import_risk_lower,import_risk_upper,n
Connecticut,2020-03-18,96,29,3565287,6515.057595355018,4363.229802630277,9817.40518436367,0.0018273585255142203,0.0012238088553965718,0.0027536086672303437,0.3703714356547723,0.24804319262565241,0.5581050358065545,202.6813186813187
Connecticut,2020-03-19,159,43,3565287,8012.646854095001,5415.729233647249,11976.2333535371,0.0022474058481392945,0.0015190163466916545,0.003359121819235618,0.45550718091297965,0.3078762362459437,0.6808312399338653,202.6813186813187
Connecticut,2020-03-20,194,53.42857142857143,3565287,9871.77324634406,6711.292650957025,14666.858759310204,0.002768857947857791,0.0018823989908686243,0.004113794698522224,0.561195780113067,0.38152710975363635,0.8337893342807022,202.6813186813187
Connecticut,2020-03-21,223,78.57142857142857,3565287,12368.78485930121,8485.76791728229,18220.70154904314,0.00346922557968018,0.0023801079456667274,0.005110584799777168,0.7031472152925411,0.4824034170316167,1.0358200664515393,202.6813186813187
Connecticut,2020-03-22,327,111.28571428571429,3565287,15373.75919665106,10554.906775391315,22580.45803402898,0.004312067779298289,0.0029604648308512935,0.006333419450952751,0.8739755837514027,0.6000309158266073,1.2836658060810169,202.6813186813187
Connecticut,2020-03-23,415,121.85714285714286,3565287,19185.121874825683,13159.457462001848,28123.635936733615,0.00538108765853231,0.0036909952724708695,0.00788818289712262,0.2826936971223129,0.193905241068004,0.41440313339418927,52.534676084317404
Connecticut,2020-03-24,618,156.71428571428572,3565287,23400.8739220843,15937.156044432866,34392.80179571488,0.006563531609680876,0.004470090639107838,0.00964657313582746,0.3448130070837632,0.23483476379306964,0.5067795950143736,52.534676084317404
Connecticut,2020-03-25,875,185.85714285714286,3565287,27703.506547271936,18738.47917525895,40833.6991502529,0.0077703440276398325,0.005255812274091525,0.011453131024305448,0.4082125065557689,0.27611239537937793,0.6016865285131331,52.534676084317404
Connecticut,2020-03-26,1012,238,3565287,31755.1043686073,21415.55983754538,46840.35413810927,0.008906745619246726,0.00600668609218427,0.013137891602586067,0.4679129960725398,0.315559308193075,0.6901948797727326,52.534676084317404
Connecticut,2020-03-27,1291,308,3565287,35378.69634916814,23913.226332669834,52066.004424298226,0.00992309913596525,0.0067072374068819236,0.014603594163470774,0.5213067988605044,0.35236254459115884,0.7671950890447653,52.534676084317404
Connecticut,2020-03-28,1524,358.57142857142856,3565287,38535.54981316635,26228.276591798545,56426.23219585006,0.010808540746696226,0.007356568094461552,0.01582656100219984,0.5678231870718324,0.38647492193476174,0.8314432557792585,52.534676084317404
Connecticut,2020-03-29,1993,383.14285714285717,3565287,40318.000719918025,27427.81554631885,59053.413103059436,0.011308486727693457,0.0076930175737097315,0.016563438820790425,0.5940876872431783,0.40415018634580213,0.8701548932926332,52.534676084317404
Connecticut,2020-03-30,2571,401.7142857142857,3565287,42365.38720670402,29097.945869863182,61664.032243413036,0.011882742457116081,0.008161459615975707,0.01729567135644705,1.3263896000682327,0.9110081443803608,1.9305979824254373,111.6231884057971
Connecticut,2020-03-31,3128,517.7142857142857,3565287,44089.718727543615,30592.387501851576,63751.571063710515,0.012366386977414053,0.008580624084919832,0.01788118910587297,1.3803755434788845,0.9577966188703266,1.995955340484545,111.6231884057971
Connecticut,2020-04-01,3557,536,3565287,44791.191829495074,31160.17394443242,64686.647073580076,0.012563137786521836,0.008739878148500364,0.018143461402568735,1.4023374961129156,0.9755730652137652,2.0252310104722375,111.6231884057971
Connecticut,2020-04-02,3824,526,3565287,45702.59835209152,31994.05981365695,65757.16134432555,0.012818771210309722,0.008973768398913453,0.018443721738060793,1.4308721139392098,1.0016806407019045,2.0587470264716554,111.6231884057971
Connecticut,2020-04-03,4915,619.2857142857143,3565287,46442.873045477965,32683.348039417528,66623.07293177393,0.013026405180137802,0.00916710156557313,0.018686594636497408,1.454048879672773,1.023261105189047,2.0858572737725076,111.6231884057971
Connecticut,2020-04-04,5276,664.7142857142857,3565287,47164.72435299079,33359.33540640972,67467.42566266052,0.01322887171579477,0.00935670407639265,0.018923420656642934,1.47664883992828,1.0444251419764665,2.1122925492386067,111.6231884057971
Connecticut,2020-04-05,5675,746.2857142857143,3565287,48143.75117070001,34281.9467055012,68588.00444336042,0.013503471437418644,0.00961548024198366,0.01923772320246881,1.507300536391281,1.0733105626631614,2.1473760015277503,111.6231884057971
Connecticut,2020-04-06,6906,851.4285714285714,3565287,48934.706928639,34994.33099058828,69555.45553213336,0.013725320550249952,0.009815291445145449,0.01950907613668503,0.12061645332037839,0.08625559148764184,0.17144339635268666,8.787878787878789
