location,division,location_id,division_id,pangolin_lineage,prev_10_day,location_lineage,mean_growth_rate,nday_threshold,first_date,end_date
Bronx,New York,36005,NY,B.1.2,0.17435897435897435,New York_Bronx_B.1.2,-0.029816645384224273,10,2021-01-03,2021-01-13
Milwaukee,Wisconsin,55079,WI,B.1,0.16842105263157894,Wisconsin_Milwaukee_B.1,-0.03733941994686189,8,2020-04-19,2020-04-29
Bronx,New York,36005,NY,B.1,0.1641025641025641,New York_Bronx_B.1,-0.05489742538655515,10,2020-03-15,2020-03-25
Maricopa,Arizona,04013,AZ,B.1.2,0.1619047619047619,Arizona_Maricopa_B.1.2,0.08727891773522382,10,2020-12-07,2020-12-17
Maricopa,Arizona,04013,AZ,B.1.427,0.1619047619047619,Arizona_Maricopa_B.1.427,0.019001087952353158,10,2021-02-28,2021-03-10
United Kingdom,United Kingdom,GBR,GBR,B.1,0.15920398009950248,United Kingdom_United Kingdom_B.1,0.1517364485762876,10,2020-02-24,2020-03-05
San Francisco,California,06075,CA,B.1.2,0.15434083601286175,California_San Francisco_B.1.2,-0.13722040841067357,10,2020-11-23,2020-12-03
Bronx,New York,36005,NY,B.1.1.434,0.15384615384615385,New York_Bronx_B.1.1.434,0.03677115687680376,10,2020-12-20,2020-12-30
Yakima,Washington,53077,WA,B.1.124,0.14695340501792115,Washington_Yakima_B.1.124,-0.024479227761288004,10,2020-04-26,2020-05-06
Massachusetts,Massachusetts,MA,MA,B.1.390,0.14685314685314685,Massachusetts_Massachusetts_B.1.390,-0.008527576794193113,10,2020-04-27,2020-05-07
Shreveport metro,Louisiana,METRO_43340,LA,B.1.596,0.14414414414414414,Louisiana_Shreveport metro_B.1.596,-0.0438915376334153,10,2020-09-13,2020-09-23
King,Washington,53033,WA,B.1.2,0.14136125654450263,Washington_King_B.1.2,-0.015339471703489092,10,2020-09-27,2020-10-07
Massachusetts,Massachusetts,MA,MA,B.1.517,0.13986013986013987,Massachusetts_Massachusetts_B.1.517,0.002566069803633682,10,2020-12-20,2020-12-30
New York,New York,36061,NY,B.1.526,0.13784461152882205,New York_New York_B.1.526,0.017054116251511122,10,2021-01-10,2021-01-20
Shreveport metro,Louisiana,METRO_43340,LA,B.1.2,0.13513513513513514,Louisiana_Shreveport metro_B.1.2,0.02915543205759296,10,2020-11-23,2020-12-03
Yakima,Washington,53077,WA,B.1.1.291,0.13261648745519714,Washington_Yakima_B.1.1.291,0.061815210586228915,10,2020-05-03,2020-05-13
South Africa,South Africa,ZAF,ZAF,B.1,0.13074204946996468,South Africa_South Africa_B.1,0.16994473340630967,10,2020-03-22,2020-04-01
