,location,location_id,division,division_id,pangolin_lineage,dist,tree_nseqs,nseqs
68,Milwaukee,55079,Wisconsin,WI,B.1.2,0.000341382,15,58
69,New Orleans metro,METRO_35380,Louisiana,LA,B.1,0.00047500299999999994,12,46
70,New Orleans metro,METRO_35380,Louisiana,LA,B.1.595,0.000166895,3,28
71,New York,36061,New York,NY,B.1,0.00697841699999999,82,141
72,New York,36061,New York,NY,B.1.1,0.00033469299999999995,4,16
73,New York,36061,New York,NY,B.1.1.434,0.0004016159999999999,6,10
74,New York,36061,New York,NY,B.1.1.7,0.01912455499999998,76,82
75,New York,36061,New York,NY,B.1.2,0.0009011299999999998,3,17
76,New York,36061,New York,NY,B.1.243,0.0038467960000000013,10,17
77,New York,36061,New York,NY,B.1.409,0.00030072699999999993,6,16
78,New York,36061,New York,NY,B.1.526,0.0054186439999999916,39,55
79,New York,36061,New York,NY,B.1.526.1,0.004467652000000001,18,20
80,New York,36061,New York,NY,B.1.526.2,0.0,1,6
81,New York,36061,New York,NY,B.1.575,0.0028388909999999996,11,19
82,Orange,06059,California,CA,B.1,0.000334042,4,23
83,Orange,06059,California,CA,B.1.1.132,0.00010020099999999998,6,23
84,Orange,06059,California,CA,B.1.2,0.00370364,15,76
85,Orange,06059,California,CA,B.1.320,0.00020116999999999997,3,18
86,Orange,06059,California,CA,B.1.429,0.0014962389999999995,23,41
87,San Diego,06073,California,CA,B.1,0.0005351299999999993,12,43
88,San Diego,06073,California,CA,B.1.1.7,0.006112541999999996,27,31
89,San Diego,06073,California,CA,B.1.166,0.000166875,4,20
90,San Diego,06073,California,CA,B.1.2,0.005705911999999999,17,29
91,San Diego,06073,California,CA,B.1.232,0.0024365629999999992,11,15
92,San Diego,06073,California,CA,B.1.241,0.000133534,6,33
93,San Diego,06073,California,CA,B.1.243,0.00020035499999999996,6,32
94,San Diego,06073,California,CA,B.1.427,0.006710708999999999,36,45
95,San Diego,06073,California,CA,B.1.429,0.027573556000000027,57,67
96,San Diego,06073,California,CA,B.1.556,6.6706e-05,3,27
97,San Diego,06073,California,CA,B.1.561,0.0018682000000000004,7,17
98,San Francisco,06075,California,CA,A.1,7.5e-08,2,12
99,San Francisco,06075,California,CA,B.1,0.00040129099999999996,4,15
100,San Francisco,06075,California,CA,B.1.2,0.0042043670000000005,13,48
101,San Francisco,06075,California,CA,B.1.427,0.011607415000000001,77,123
102,San Francisco,06075,California,CA,B.1.429,0.030132412000000042,62,113
103,Santa Clara,06085,California,CA,A.1,0.0,0,10
104,Santa Clara,06085,California,CA,B,0.0002719919999999999,3,28
105,Santa Clara,06085,California,CA,B.1,0.0,1,14
106,Santa Clara,06085,California,CA,B.1.14,0.00020016599999999997,7,30
107,Santa Clara,06085,California,CA,B.1.2,0.001401527,5,76
108,Santa Clara,06085,California,CA,B.1.232,0.004141331999999999,32,88
109,Santa Clara,06085,California,CA,B.1.243,0.000901509,4,15
110,Santa Clara,06085,California,CA,B.1.399,0.00021675499999999993,6,20
111,Santa Clara,06085,California,CA,B.1.427,0.0005014039999999999,9,29
112,Santa Clara,06085,California,CA,B.1.429,0.0036382029999999987,18,37
113,Santa Clara,06085,California,CA,B.1.503,0.000582639,4,13
114,Santa Clara,06085,California,CA,B.20,0.00013347599999999997,6,28
115,Shreveport metro,METRO_43340,Louisiana,LA,B.1,0.0028703340000000004,45,59
116,Shreveport metro,METRO_43340,Louisiana,LA,B.1.2,0.004378010000000002,11,15
117,Shreveport metro,METRO_43340,Louisiana,LA,B.1.234,0.0007673480000000002,3,21
118,Shreveport metro,METRO_43340,Louisiana,LA,B.1.596,0.000800628,16,16
119,South Africa,ZAF,South Africa,ZAF,B.1.351,0.0009681889999999999,5,30
120,United Kingdom,GBR,United Kingdom,GBR,B.1.1.7,0.004981027999999988,55,131
121,United Kingdom,GBR,United Kingdom,GBR,B.1.177,0.0016693499999999994,17,29
122,Washington,41067,Oregon,OR,B.1.2,0.004905684999999998,16,20
123,Washington,41067,Oregon,OR,B.1.495,0.0,1,10
124,Washoe,32031,Nevada,NV,B.1.2,0.007393133,21,37
125,Washoe,32031,Nevada,NV,B.1.429,0.011157572,38,66
126,Yakima,53077,Washington,WA,A.1,0.00040263500000000004,27,74
127,Yakima,53077,Washington,WA,B.1,0.00013343899999999998,6,14
128,Yakima,53077,Washington,WA,B.1.1,0.0008350179999999999,8,24
129,Yakima,53077,Washington,WA,B.1.1.26,0.00023353399999999995,4,35
130,Yakima,53077,Washington,WA,B.1.1.291,0.00016696799999999995,13,37
131,Yakima,53077,Washington,WA,B.1.124,0.001067179,15,41
132,Yakima,53077,Washington,WA,B.1.2,0.0008680859999999999,4,13
133,Yakima,53077,Washington,WA,B.1.232,0.00047240499999999996,5,27
134,Yakima,53077,Washington,WA,B.1.429,0.0021354410000000005,7,14
